Input Cube:  /usgs/cpkgs/isis3.0.0/data/base/testData/isisTruth.cub
Samples:Lines:Bands:  126:126:2
          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197          197
          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217          217
          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236          236
          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256          256
       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20       -1e+20
  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19  -8.4615e+19
  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19  -6.9231e+19
  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19  -5.3846e+19
  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19  -3.8462e+19
  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19  -2.3077e+19
  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18  -7.6923e+18
   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18   7.6923e+18
   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19   2.3077e+19
